kotodama-compile-fail-cases-v1	59
name	source	phase	code	message	line
duplicate-declaration	seiyaku Duplicate {\nfn repeated() {}\nfn repeated() {}\n}	Resolve	E_DUPLICATE_DECLARATION	declaration name `repeated` is already used by a function	3
unknown-name	seiyaku UnknownName {\nfn read() -> int { return missing_value; }\n}	Resolve	K2002	unknown value `missing_value`	2
unknown-type	seiyaku UnknownType {\nfn read() { let Missing value = 1; }\n}	Resolve	K2002	unknown type `Missing`	2
unknown-call	seiyaku UnknownCall {\nfn run() { missing_call(); }\n}	Resolve	K2002	unknown function or builtin `missing_call`	2
builtin-collision	seiyaku BuiltinCollision {\nfn account_id(string value) -> int { return 1; }\n}	Resolve	E_RESERVED_DECLARATION	function `account_id` uses a compiler-reserved name	2
implicit-conversion	seiyaku ImplicitConversion {\nfn run() { let int value = true; }\n}	Semantic	E_TYPE_ANNOTATION_MISMATCH	type annotation mismatch: expected int, got bool	2
tail-type-mismatch	seiyaku TailMismatch {\nfn value() -> bool { 1 }\n}	Semantic	E_TAIL_TYPE_MISMATCH	block tail type mismatch: type annotation mismatch: expected bool, got int	2
implicit-int-decimal-arithmetic	seiyaku ImplicitNumericArithmetic {\nfn add(int whole, decimal fraction) -> decimal { return whole + fraction; }\n}	Semantic	E_IMPLICIT_NUMERIC_CONVERSION	`int` and `decimal` operands cannot be mixed implicitly; convert the `int` with `decimal::from_int(value)`	2
implicit-int-decimal-comparison	seiyaku ImplicitNumericComparison {\nfn less(int whole, decimal fraction) -> bool { return whole < fraction; }\n}	Semantic	E_IMPLICIT_NUMERIC_CONVERSION	`int` and `decimal` operands cannot be mixed implicitly; convert the `int` with `decimal::from_int(value)`	2
implicit-int-decimal-equality	seiyaku ImplicitNumericEquality {\nfn equal(int whole, decimal fraction) -> bool { return whole == fraction; }\n}	Semantic	E_IMPLICIT_NUMERIC_CONVERSION	`int` and `decimal` operands cannot be mixed implicitly; convert the `int` with `decimal::from_int(value)`	2
implicit-int-decimal-compound-assignment	seiyaku ImplicitNumericCompound {\nfn add(int delta) -> decimal { var decimal value = 1.5; value += delta; return value; }\n}	Semantic	E_IMPLICIT_NUMERIC_CONVERSION	`int` and `decimal` operands cannot be mixed implicitly; convert the `int` with `decimal::from_int(value)`	2
implicit-pointer-conversion	seiyaku ImplicitPointerConversion {\nfn run(bytes value) { let id = AccountId::parse(value); }\n}	Semantic	K2003	AccountId::parse expects string	2
untyped-parameter	seiyaku UntypedParameter {\nfn run(value) {}\n}	Parse	K1001	expected identifier but found RParen	2
missing-kotoage-authorization	seiyaku MissingAuthorization {\nkotoage fn run() {}\n}	Parse	K1001	kotoage function `run` requires `authorize("Permission")` before its body	2
retired-parameter-order	seiyaku RetiredParameterOrder {\nfn run(value: int) {}\n}	Parse	E_RETIRED_DECLARATION_ORDER	parameters are type-first: write `int value`	2
retired-state-order	seiyaku RetiredStateOrder {\nstate value: int;\n}	Parse	E_RETIRED_DECLARATION_ORDER	state declarations are type-first: write `state int value;`	2
retired-const-order	seiyaku RetiredConstOrder {\nconst limit: int = 1;\n}	Parse	E_RETIRED_DECLARATION_ORDER	constants are type-first: write `const int limit = 1;`	2
retired-struct-field-order	seiyaku RetiredStructFieldOrder {\nstruct Pair { value: int; }\n}	Parse	E_RETIRED_DECLARATION_ORDER	struct fields are type-first: write `int field;`	2
retired-local-order	seiyaku RetiredLocalOrder {\nfn run() { let value: int = 1; }\n}	Parse	E_RETIRED_DECLARATION_ORDER	typed locals are type-first: write `let int value = ...;`	2
immutable-assignment	seiyaku ImmutableAssignment {\nfn run() { let value = 1; value = 2; }\n}	Semantic	E_IMMUTABLE_ASSIGNMENT	cannot assign to immutable binding `value`	2
unbounded-loop	seiyaku UnboundedLoop {\nfn run() { while true {} }\n}	Parse	K1001	`while` is not supported in Kotodama V1	2
