kotodama-i18n-v1	76	15
language	no_functions	unsupported_binary_op	unknown_param	read_file	parser_error	semantic_error	lint_unused_state	lint_state_shadowed_param	lint_state_shadowed_binding	lint_state_shadowed_map_binding	lint_unused_parameter	lint_unreachable_after_return	lint_ok	lint_usage	lint_usage_help
English	no functions to compile	Kotodama compiler hint: {op}	unknown param {name}	failed to read {path}: {error}	parser error: {error}	semantic error: {error}	state `{name}` is declared but never used	parameter `{name}` in function `{func}` shadows state `{name}`; rename the parameter to access the state	binding `{name}` in function `{func}` shadows state `{name}`; rename the binding to keep the state accessible	binding `{name}` in function `{func}` shadows state `{name}` while iterating a map	parameter `{name}` in function `{func}` is never used	unreachable statement detected in {context}: code after a return never executes	ok	Usage: koto check <file.ko> [<file2.ko> ...]	Run Kotodama lints against the provided sources.
Japanese	コンパイルする関数がありません	Kotodama compiler hint: {op}	不明な引数 {name}	ファイル {path} の読み取りに失敗しました: {error}	構文解析エラー: {error}	意味解析エラー: {error}	state `{name}` は宣言されていますが使用されていません	関数`{func}`の引数`{name}`が state `{name}` を隠しています。state にアクセスするには引数名を変更してください	関数`{func}`の束縛`{name}`が state `{name}` を隠しています。state を利用できるように束縛名を変更してください	関数`{func}`のループ内束縛`{name}`が state `{name}` を隠しています (map の反復中)	関数`{func}`の引数`{name}`は使用されていません	{context} で到達不能な文を検出しました: return の後のコードは実行されません	正常	使用方法: koto check <file.ko> [<file2.ko> ...]	指定したソースに Kotodama の lint を実行します。
SimplifiedChinese	没有可编译的函数	Kotodama compiler hint: {op}	未知参数 {name}	无法读取 {path}: {error}	解析错误：{error}	语义错误：{error}	状态`{name}`已声明但从未使用	函数`{func}`中的参数`{name}`遮蔽了状态`{name}`；请重命名该参数以访问该状态	函数`{func}`中的绑定`{name}`遮蔽了状态`{name}`；请重命名该绑定以保持对状态的访问	函数`{func}`在遍历映射时的绑定`{name}`遮蔽了状态`{name}`	函数`{func}`中的参数`{name}`从未使用	在{context}中检测到不可达语句：return 之后的代码永远不会执行	正常	用法：koto check <file.ko> [<file2.ko> ...]	对提供的源文件运行 Kotodama 的 lint。
TraditionalChinese	沒有可編譯的函數	Kotodama compiler hint: {op}	未知參數 {name}	無法讀取 {path}: {error}	解析錯誤：{error}	語義錯誤：{error}	狀態`{name}`已宣告但從未使用	函式`{func}`中的參數`{name}`遮蔽了狀態`{name}`；請重新命名該參數以存取該狀態	函式`{func}`中的綁定`{name}`遮蔽了狀態`{name}`；請重新命名該綁定以維持對狀態的存取	函式`{func}`在巡訪映射時的綁定`{name}`遮蔽了狀態`{name}`	函式`{func}`中的參數`{name}`從未使用	在 {context} 偵測到無法到達的敘述：return 之後的程式碼不會執行	正常	使用方式：koto check <file.ko> [<file2.ko> ...]	對提供的原始碼執行 Kotodama 的 lint。
Thai	ไม่มีฟังก์ชันให้คอมไพล์	Kotodama compiler hint: {op}	ไม่รู้จักพารามิเตอร์ {name}	ไม่สามารถอ่านไฟล์ {path}: {error}	เกิดข้อผิดพลาดจากตัวแยกโค้ด: {error}	เกิดข้อผิดพลาดด้านความหมาย: {error}	state `{name}` ถูกประกาศแต่ไม่เคยถูกใช้งาน	พารามิเตอร์ `{name}` ในฟังก์ชัน `{func}` บดบัง state `{name}`; เปลี่ยนชื่อพารามิเตอร์เพื่อเข้าถึง state	ตัวผูก `{name}` ในฟังก์ชัน `{func}` บดบัง state `{name}`; เปลี่ยนชื่อตัวผูกเพื่อรักษาการเข้าถึง state	ตัวผูก `{name}` ในฟังก์ชัน `{func}` บดบัง state `{name}` ระหว่างการวนซ้ำ map	พารามิเตอร์ `{name}` ในฟังก์ชัน `{func}` ไม่เคยถูกใช้งาน	ตรวจพบคำสั่งที่เข้าถึงไม่ได้ใน {context}: โค้ดหลัง return จะไม่ถูกรัน	สำเร็จ	วิธีใช้: koto check <file.ko> [<file2.ko> ...]	รันการตรวจ lint ของ Kotodama กับซอร์สที่ระบุ.
Khmer	មិនមានមុខងារឱ្យចងក្រងទេ	Kotodama compiler hint: {op}	ប៉ារ៉ាម៉ែត្រដែលមិនស្គាល់ {name}	មិនអាចអានឯកសារ {path}: {error}	កំហុសក្នុងការបំបែកកូដ: {error}	កំហុសអត្ថន័យ: {error}	ស្ថានភាព `{name}` ត្រូវបានប្រកាសប៉ុន្តែមិនដែលត្រូវបានប្រើឡើយ	ប៉ារ៉ាម៉ែត្រ `{name}` ក្នុងអនុគមន៍ `{func}` បាំងស្ថានភាព `{name}`; សូមប្តូរឈ្មោះប៉ារ៉ាម៉ែត្រដើម្បីចូលដំណើរការ	ការចង `{name}` ក្នុងអនុគមន៍ `{func}` បាំងស្ថានភាព `{name}`; សូមប្តូរឈ្មោះការចងដើម្បីរក្សាការចូលដំណើរការ	ការចង `{name}` ក្នុងអនុគមន៍ `{func}` បាំងស្ថានភាព `{name}` អំឡុងពេលវង្វេងតាមផែនទី	ប៉ារ៉ាម៉ែត្រ `{name}` ក្នុងអនុគមន៍ `{func}` មិនដែលត្រូវបានប្រើ	រកឃើញសេចក្តីថ្លែងការណ៍ដែលមិនអាចទៅដល់នៅក្នុង {context}: កូដបន្ទាប់ពី return មិនត្រូវបានដំណើរការឡើយ	រួចរាល់	របៀបប្រើ: koto check <file.ko> [<file2.ko> ...]	ដំណើរការការត្រួតពិនិត្យ lint របស់ Kotodama លើប្រភពដែលបានផ្តល់ជូន។
Vietnamese	Không có hàm nào để biên dịch	Kotodama compiler hint: {op}	Tham số không xác định {name}	Không thể đọc tệp {path}: {error}	Lỗi bộ phân tích cú pháp: {error}	Lỗi ngữ nghĩa: {error}	trạng thái `{name}` đã được khai báo nhưng không bao giờ được sử dụng	tham số `{name}` trong hàm `{func}` che khuất trạng thái `{name}`; hãy đổi tên tham số để truy cập trạng thái	ràng buộc `{name}` trong hàm `{func}` che khuất trạng thái `{name}`; hãy đổi tên ràng buộc để giữ quyền truy cập	ràng buộc `{name}` trong hàm `{func}` che khuất trạng thái `{name}` khi lặp qua map	tham số `{name}` trong hàm `{func}` không bao giờ được sử dụng	phát hiện câu lệnh không thể tới trong {context}: mã sau return sẽ không bao giờ chạy	ok	Cách dùng: koto check <file.ko> [<file2.ko> ...]	Chạy các kiểm tra lint Kotodama trên mã nguồn đã cung cấp.
Korean	컴파일할 함수가 없습니다	Kotodama compiler hint: {op}	알 수 없는 매개변수 {name}	파일 {path}을(를) 읽을 수 없습니다: {error}	파서 오류: {error}	시맨틱 오류: {error}	state `{name}`이 선언되었지만 사용되지 않습니다	함수 `{func}`의 매개변수 `{name}`이 상태 `{name}`을 가립니다. 상태에 접근하려면 매개변수 이름을 변경하세요	함수 `{func}`의 바인딩 `{name}`이 상태 `{name}`을 가립니다. 상태 접근을 유지하려면 바인딩 이름을 변경하세요	함수 `{func}`에서 맵을 순회할 때 바인딩 `{name}`이 상태 `{name}`을 가립니다	함수 `{func}`의 매개변수 `{name}`은 사용되지 않습니다	{context}에서 도달할 수 없는 문장을 발견했습니다: return 이후의 코드는 실행되지 않습니다	정상	사용법: koto check <file.ko> [<file2.ko> ...]	제공된 소스에 Kotodama lint를 실행합니다.
Arabic	لا توجد وظائف لتجميعها	Kotodama compiler hint: {op}	معلمة غير معروفة {name}	فشل في القراءة {path}: {error}	خطأ في المحلل: {error}	خطأ دلالي: {error}	الحالة `{name}` مُعلنة ولكن لم يتم استخدامها	المعامل `{name}` في الدالة `{func}` يحجب الحالة `{name}`؛ أعد تسمية المعامل للوصول إلى الحالة	الربط `{name}` في الدالة `{func}` يحجب الحالة `{name}`؛ أعد تسمية الربط للحفاظ على الوصول إلى الحالة	الربط `{name}` في الدالة `{func}` يحجب الحالة `{name}` أثناء اجتياز الخريطة	المعامل `{name}` في الدالة `{func}` غير مستخدم إطلاقًا	تم اكتشاف تعليمة غير قابلة للوصول في {context}: الشفرة بعد return لا تُنفَّذ أبدًا	تم	كيفية الاستخدام: koto check <file.ko> [<file2.ko> ...]	يشغّل فحوصات Kotodama على المصادر المقدَّمة.
Hebrew	אין פונקציות לקומפילציה	רמז מהמהדר של Kotodama: {op}	פרמטר לא מוכר `{name}`	קריאת הקובץ {path} נכשלה: {error}	שגיאת מנתח: {error}	שגיאה סמנטית: {error}	המצב `{name}` הוגדר אך אינו בשימוש	הפרמטר `{name}` בפונקציה `{func}` מסתיר את המצב `{name}`; יש לשנות את שם הפרמטר כדי לגשת למצב	הקישור `{name}` בפונקציה `{func}` מסתיר את המצב `{name}`; יש לשנות את שם הקישור כדי לשמור על הגישה	הקישור `{name}` בפונקציה `{func}` מסתיר את המצב `{name}` בזמן איטרציה על המפה	הפרמטר `{name}` בפונקציה `{func}` אינו בשימוש	נמצאה פקודה שאינה נגישה ב-{context}: קוד אחרי return לעולם לא יורץ	תקין	שימוש: koto check <file.ko> [<file2.ko> ...]	הפעילו את בדיקות ה-lint של Kotodama על המקורות שסופקו.
