kotodama-diagnostic-explanations-v1	235
code	phase	summary	help
K0000	Lex	the requested source could not be read	Check that the path exists, is a regular readable file, and contains valid UTF-8.
K0001	Lex	source exceeds the 1 MiB V1 limit	Split the source into typed modules and compile one deployable seiyaku per file.
K0002	Lex	source exceeds the 250,000-token V1 limit	Reduce generated source or move reusable declarations into typed modules.
K0003	Parse	source exceeds the 256-level nesting limit	Flatten nested expressions, types, or blocks.
K0004	Parse	the diagnostic fanout limit was reached	Fix the reported errors, then rerun the compiler to reveal any remaining failures.
K0100	Lex	the source contains an invalid token or character	Use ASCII identifiers except for the exact 誓約, 言挙げ, 始まり, and 改善 keywords; the romanized forms are seiyaku, kotoage, hajimari, and kaizen.
K1001	Parse	the source does not match the V1 grammar	Use the primary span and labels to repair the declaration or expression.
K1004	Parse	a source package or test graph exceeds a fixed V1 frontend budget	Reduce the number or aggregate byte size of the source files in the graph.
K1099	Parse	the parser could not bind its internal source-origin table	Report this compiler bug with the source file; compilation stops without producing typed HIR or bytecode.
K2001	Semantic	a declaration duplicates or shadows another symbol	Give every declaration and binding a unique, non-reserved name.
K2002	Resolve	a name, type, function, or import could not be resolved	Correct the spelling or add an explicit typed-module import/export.
K2003	Semantic	an expression violates the strict type rules	Use the exact declared type and an explicit conversion operation where one exists.
K2004	Semantic	authorization or view-effect policy was violated	Authorize every kotoage function and keep view call graphs read-only.
K2005	Semantic	durable-state rules were violated	Initialize scalar state in hajimari and access StateMap values through its typed API.
K2006	Semantic	a recursive call graph or recursive value type was found	Refactor the cycle into an iterative, compiler-proven bounded design.
K2007	Semantic	a function exceeds the V1 argument-register word limit	Reduce or regroup parameters so their recursively flattened representation occupies at most 13 words.
K2008	Semantic	a named value type exceeds a fixed V1 resolution budget	Shorten deeply nested value types or replace repeatedly branching product fields with a flatter bounded schema.
K2098	Semantic	an accepted parameter type retained no bounded ABI representation	Report this compiler defect with the source; semantic analysis must assign every parameter an exact bounded V1 ABI representation.
K2099	Resolve	resolved-HIR construction or integrity validation failed	Report this compiler defect with the source; resolution stopped before typed/effect analysis.
K2100	Semantic	the program violates the deterministic on-chain profile	Remove test-only or non-deterministic behavior from the deployable seiyaku.
K3001	Lowering	a typed construct has no V1 code-generation form	Use a supported V1 type or operation; this is a compiler defect if the grammar promises the construct.
K3003	Lowering	typed HIR could not be lowered to SSA MIR	Simplify the reported construct and report a compiler defect if valid V1 source triggered it.
K3004	Lowering	SSA optimization failed to preserve a valid deterministic control-flow graph	Report this compiler defect with a minimal source reproducer; no artifact is emitted after an optimizer failure.
K3005	Lowering	lowered IR could not be converted into validated SSA form	Report this compiler defect with a minimal source reproducer; valid typed HIR must always produce validated SSA.
